Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C8,100nF,C_0402_1005Metric,234.578411,-38.350589,135.0,bottom
C9,100nF,C_0402_1005Metric,239.903,-44.323,225.0,bottom
C10,100nF,C_0402_1005Metric,227.415411,-44.603161,315.0,bottom
C11,100nF,C_0402_1005Metric,240.665,-43.561,225.0,bottom
C12,10nF,C_0402_1005Metric,237.337,-49.53,225.0,bottom
C13,4.7uF,C_0402_1005Metric,226.568,-43.815,315.0,bottom
C14,4.7uF,C_0402_1005Metric,233.807,-37.592,135.0,bottom
C15,1uF,C_0402_1005Metric,236.559411,-50.250411,225.0,bottom
C16,1uF,C_0402_1005Metric,222.377,-31.115,270.0,bottom
C17,1uF,C_0402_1005Metric,221.389,-36.83,180.0,bottom
C18,1uF,C_0402_1005Metric,244.388,-49.367,90.0,bottom
C19,4.7uF,C_0402_1005Metric,242.542,-52.197,0.0,bottom
D1,D_Small,D_SOD-123,32.437,-29.972,90.0,bottom
D2,D_Small,D_SOD-123,51.117,-29.972,90.0,bottom
D3,D_Small,D_SOD-123,69.797,-29.972,90.0,bottom
D4,D_Small,D_SOD-123,88.477,-29.972,90.0,bottom
D5,D_Small,D_SOD-123,107.157,-29.972,90.0,bottom
D6,D_Small,D_SOD-123,125.837,-29.972,90.0,bottom
D7,D_Small,D_SOD-123,144.517,-29.972,90.0,bottom
D8,D_Small,D_SOD-123,163.197,-29.972,90.0,bottom
D9,D_Small,D_SOD-123,181.877,-29.972,90.0,bottom
D10,D_Small,D_SOD-123,200.557,-29.972,90.0,bottom
D11,D_Small,D_SOD-123,219.237,-29.972,90.0,bottom
D12,D_Small,D_SOD-123,242.951,-29.972,90.0,bottom
D13,D_Small,D_SOD-123,256.597,-29.972,90.0,bottom
D14,D_Small,D_SOD-123,34.772,-48.006,90.0,bottom
D15,D_Small,D_SOD-123,55.787,-48.006,90.0,bottom
D16,D_Small,D_SOD-123,74.467,-48.006,90.0,bottom
D17,D_Small,D_SOD-123,93.147,-48.006,90.0,bottom
D18,D_Small,D_SOD-123,111.827,-48.006,90.0,bottom
D19,D_Small,D_SOD-123,130.507,-48.006,90.0,bottom
D20,D_Small,D_SOD-123,149.187,-48.006,90.0,bottom
D21,D_Small,D_SOD-123,167.867,-48.006,90.0,bottom
D22,D_Small,D_SOD-123,186.547,-48.006,90.0,bottom
D23,D_Small,D_SOD-123,205.227,-48.006,90.0,bottom
D24,D_Small,D_SOD-123,223.907,-48.006,90.0,bottom
D25,D_Small,D_SOD-123,249.592,-49.022,90.0,bottom
D26,D_Small,D_SOD-123,39.442,-68.072,90.0,bottom
D27,D_Small,D_SOD-123,65.8495,-68.072,90.0,bottom
D28,D_Small,D_SOD-123,84.8995,-68.072,90.0,bottom
D29,D_Small,D_SOD-123,103.9495,-68.072,90.0,bottom
D30,D_Small,D_SOD-123,122.9995,-68.072,90.0,bottom
D31,D_Small,D_SOD-123,142.0495,-68.072,90.0,bottom
D32,D_Small,D_SOD-123,161.0995,-68.072,90.0,bottom
D33,D_Small,D_SOD-123,180.1495,-68.072,90.0,bottom
D34,D_Small,D_SOD-123,199.1995,-68.072,90.0,bottom
D35,D_Small,D_SOD-123,218.2495,-68.072,90.0,bottom
D36,D_Small,D_SOD-123,237.2995,-68.072,90.0,bottom
D37,D_Small,D_SOD-123,256.3495,-68.072,90.0,bottom
D38,D_Small,D_SOD-123,41.011995,-87.122,90.0,bottom
D39,D_Small,D_SOD-123,61.012,-87.122,90.0,bottom
D40,D_Small,D_SOD-123,84.8245,-87.122,90.0,bottom
D41,D_Small,D_SOD-123,118.11,-87.122,90.0,bottom
D42,D_Small,D_SOD-123,172.974,-87.122,90.0,bottom
D43,D_Small,D_SOD-123,222.25,-87.122,90.0,bottom
D44,D_Small,D_SOD-123,237.236,-87.122,90.0,bottom
D45,D_Small,D_SOD-123,260.096,-87.122,90.0,bottom
D46,PRTR5V0U2X,SOT-143,226.425,-29.144,0.0,bottom
F2,500mA,Fuse_0603_1608Metric,223.647,-30.734,270.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,232.9585,-19.76,180.0,bottom
Q1,2N7002,SOT-23,239.776,-52.197,90.0,bottom
R8,5k1,R_0402_1005Metric,227.076,-24.13,270.0,bottom
R9,5k1,R_0402_1005Metric,239.014,-24.13,270.0,bottom
R10,10k,R_0402_1005Metric,243.372,-49.365,270.0,bottom
R11,10k,R_0402_1005Metric,241.935,-38.354,135.0,bottom
R12,100k,R_0402_1005Metric,242.57,-53.467,180.0,bottom
SW50,SW_Push,SW_SPST_TL3342,248.412,-37.084,0.0,bottom
U4,XC6206PxxxMR,SOT-23,222.758,-34.29,90.0,bottom
U5,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,233.807,-44.323,45.0,bottom
