Designator,Mid X,Mid Y,Rotation,Layer
C10,198.078411,-16.409161,45.0,bottom
C11,197.37,-15.71,45.0,bottom
C12,207.264,-22.098,315.0,bottom
C13,208.0,-21.36,315.0,bottom
C14,209.55,-19.685,315.0,bottom
C15,210.312,-18.923,315.0,bottom
C16,193.04,-1.651,90.0,bottom
C17,192.052,-7.112,0.0,bottom
C18,214.503,-21.717,0.0,bottom
C19,213.205,-24.003,180.0,bottom
C8,205.241411,-10.156589,45.0,bottom
C9,204.47,-9.398,45.0,bottom
D1,3.1,-1.778,90.0,bottom
D10,171.22,-1.778,90.0,bottom
D11,189.9,-1.778,90.0,bottom
D12,213.614,-1.778,90.0,bottom
D13,227.26,-1.778,90.0,bottom
D14,5.435,-20.828,90.0,bottom
D15,26.45,-20.828,90.0,bottom
D16,45.13,-20.828,90.0,bottom
D17,63.81,-20.828,90.0,bottom
D18,82.49,-20.828,90.0,bottom
D19,101.17,-20.828,90.0,bottom
D2,21.78,-1.778,90.0,bottom
D20,119.85,-20.828,90.0,bottom
D21,138.53,-20.828,90.0,bottom
D22,157.21,-20.828,90.0,bottom
D23,175.89,-20.828,90.0,bottom
D24,194.57,-20.828,90.0,bottom
D25,220.255,-20.828,90.0,bottom
D26,10.105,-39.878,90.0,bottom
D27,35.79,-39.878,90.0,bottom
D28,54.47,-39.878,90.0,bottom
D29,73.15,-39.878,90.0,bottom
D3,40.46,-1.778,90.0,bottom
D30,91.83,-39.878,90.0,bottom
D31,110.51,-39.878,90.0,bottom
D32,129.19,-39.878,90.0,bottom
D33,147.87,-39.878,90.0,bottom
D34,166.55,-39.878,90.0,bottom
D35,185.23,-39.878,90.0,bottom
D36,203.91,-39.878,90.0,bottom
D37,224.925,-39.878,90.0,bottom
D38,11.674995,-58.928,90.0,bottom
D39,31.675,-58.928,90.0,bottom
D4,59.14,-1.778,90.0,bottom
D40,55.4875,-58.928,90.0,bottom
D41,88.773,-58.928,90.0,bottom
D42,143.637,-58.928,90.0,bottom
D43,181.737,-58.928,90.0,bottom
D44,203.073,-58.928,90.0,bottom
D45,228.727,-58.928,90.0,bottom
D5,77.82,-1.778,90.0,bottom
D6,96.5,-1.778,90.0,bottom
D7,115.18,-1.778,90.0,bottom
D8,133.86,-1.778,90.0,bottom
D9,152.54,-1.778,90.0,bottom
F2,194.31,-0.381,270.0,bottom
J1,203.6215,8.434,0.0,bottom
Q1,210.439,-24.003,90.0,bottom
R10,214.505,-20.701,180.0,bottom
R11,212.217,-11.684,315.0,bottom
R12,213.233,-25.273,0.0,bottom
R8,197.739,4.064,270.0,bottom
R9,209.677,4.064,270.0,bottom
SW46,218.711573,-8.895,180.0,bottom
U3,197.104,-0.762,180.0,bottom
U4,193.421,-4.572,90.0,bottom
U5,204.47,-16.129,135.0,bottom
